id	category
Kan_1	Negative
Kan_2	Positive
Kan_3	not-Kannada
Kan_4	not-Kannada
Kan_5	Positive
Kan_6	not-Kannada
Kan_7	Positive
Kan_8	not-Kannada
Kan_9	Negative
Kan_10	Positive
Kan_11	Positive
Kan_12	Positive
Kan_13	Positive
Kan_14	Negative
Kan_15	Positive
Kan_16	Positive
Kan_17	Positive
Kan_18	Positive
Kan_19	Positive
Kan_20	Positive
Kan_21	Positive
Kan_22	Positive
Kan_23	Positive
Kan_24	Positive
Kan_25	Positive
Kan_26	Positive
Kan_27	not-Kannada
Kan_28	Positive
Kan_29	Mixed feelings
Kan_30	not-Kannada
Kan_31	Positive
Kan_32	Positive
Kan_33	not-Kannada
Kan_34	not-Kannada
Kan_35	Negative
Kan_36	Positive
Kan_37	Negative
Kan_38	Positive
Kan_39	Positive
Kan_40	not-Kannada
Kan_41	Positive
Kan_42	Positive
Kan_43	Positive
Kan_44	Positive
Kan_45	Positive
Kan_46	not-Kannada
Kan_47	unknown state
Kan_48	Positive
Kan_49	Positive
Kan_50	Negative
Kan_51	Negative
Kan_52	not-Kannada
Kan_53	Positive
Kan_54	Positive
Kan_55	Positive
Kan_56	Negative
Kan_57	Negative
Kan_58	Negative
Kan_59	Positive
Kan_60	not-Kannada
Kan_61	Negative
Kan_62	Positive
Kan_63	Negative
Kan_64	Positive
Kan_65	Negative
Kan_66	Positive
Kan_67	Positive
Kan_68	Positive
Kan_69	Positive
Kan_70	not-Kannada
Kan_71	Negative
Kan_72	Negative
Kan_73	Positive
Kan_74	Positive
Kan_75	Positive
Kan_76	not-Kannada
Kan_77	Positive
Kan_78	Positive
Kan_79	unknown state
Kan_80	Negative
Kan_81	Positive
Kan_82	Positive
Kan_83	Negative
Kan_84	Positive
Kan_85	Positive
Kan_86	Negative
Kan_87	Negative
Kan_88	Positive
Kan_89	Positive
Kan_90	not-Kannada
Kan_91	Positive
Kan_92	Positive
Kan_93	Positive
Kan_94	Positive
Kan_95	Negative
Kan_96	Positive
Kan_97	Positive
Kan_98	Positive
Kan_99	Negative
Kan_100	Mixed feelings
Kan_101	not-Kannada
Kan_102	Negative
Kan_103	Positive
Kan_104	Positive
Kan_105	Positive
Kan_106	Positive
Kan_107	Positive
Kan_108	Negative
Kan_109	Negative
Kan_110	unknown state
Kan_111	Positive
Kan_112	Positive
Kan_113	Positive
Kan_114	Positive
Kan_115	Positive
Kan_116	Positive
Kan_117	Positive
Kan_118	Positive
Kan_119	Positive
Kan_120	Positive
Kan_121	Positive
Kan_122	not-Kannada
Kan_123	Positive
Kan_124	Positive
Kan_125	Positive
Kan_126	Positive
Kan_127	Positive
Kan_128	Negative
Kan_129	Positive
Kan_130	Negative
Kan_131	not-Kannada
Kan_132	Positive
Kan_133	Positive
Kan_134	Negative
Kan_135	Positive
Kan_136	Positive
Kan_137	Positive
Kan_138	Positive
Kan_139	not-Kannada
Kan_140	Positive
Kan_141	not-Kannada
Kan_142	Negative
Kan_143	Positive
Kan_144	not-Kannada
Kan_145	Positive
Kan_146	Positive
Kan_147	Positive
Kan_148	Positive
Kan_149	Positive
Kan_150	Negative
Kan_151	Positive
Kan_152	Positive
Kan_153	Positive
Kan_154	Positive
Kan_155	Positive
Kan_156	Negative
Kan_157	Positive
Kan_158	Mixed feelings
Kan_159	not-Kannada
Kan_160	Positive
Kan_161	Positive
Kan_162	Positive
Kan_163	Negative
Kan_164	Positive
Kan_165	not-Kannada
Kan_166	Negative
Kan_167	unknown state
Kan_168	Positive
Kan_169	Positive
Kan_170	Negative
Kan_171	Positive
Kan_172	Negative
Kan_173	Positive
Kan_174	Positive
Kan_175	Positive
Kan_176	Positive
Kan_177	Positive
Kan_178	Negative
Kan_179	unknown state
Kan_180	Positive
Kan_181	not-Kannada
Kan_182	Positive
Kan_183	not-Kannada
Kan_184	unknown state
Kan_185	not-Kannada
Kan_186	Positive
Kan_187	Positive
Kan_188	Positive
Kan_189	Positive
Kan_190	Negative
Kan_191	Positive
Kan_192	Negative
Kan_193	Positive
Kan_194	Mixed feelings
Kan_195	unknown state
Kan_196	Positive
Kan_197	Positive
Kan_198	Mixed feelings
Kan_199	Negative
Kan_200	Mixed feelings
Kan_201	Positive
Kan_202	Positive
Kan_203	Positive
Kan_204	not-Kannada
Kan_205	not-Kannada
Kan_206	not-Kannada
Kan_207	Positive
Kan_208	Positive
Kan_209	Positive
Kan_210	Positive
Kan_211	Positive
Kan_212	Negative
Kan_213	Positive
Kan_214	Negative
Kan_215	not-Kannada
Kan_216	Positive
Kan_217	Negative
Kan_218	Positive
Kan_219	not-Kannada
Kan_220	Positive
Kan_221	Positive
Kan_222	Positive
Kan_223	Positive
Kan_224	Positive
Kan_225	Positive
Kan_226	Negative
Kan_227	Negative
Kan_228	Negative
Kan_229	Positive
Kan_230	Negative
Kan_231	Positive
Kan_232	Positive
Kan_233	Negative
Kan_234	Positive
Kan_235	Positive
Kan_236	Positive
Kan_237	Negative
Kan_238	not-Kannada
Kan_239	Positive
Kan_240	Positive
Kan_241	Positive
Kan_242	Positive
Kan_243	Negative
Kan_244	Positive
Kan_245	Positive
Kan_246	Positive
Kan_247	Positive
Kan_248	Positive
Kan_249	Negative
Kan_250	Positive
Kan_251	Negative
Kan_252	not-Kannada
Kan_253	Positive
Kan_254	Positive
Kan_255	Negative
Kan_256	Positive
Kan_257	Positive
Kan_258	not-Kannada
Kan_259	Positive
Kan_260	Positive
Kan_261	not-Kannada
Kan_262	Positive
Kan_263	Positive
Kan_264	unknown state
Kan_265	Negative
Kan_266	Positive
Kan_267	Negative
Kan_268	Positive
Kan_269	not-Kannada
Kan_270	Negative
Kan_271	Positive
Kan_272	Positive
Kan_273	Positive
Kan_274	Positive
Kan_275	Positive
Kan_276	Negative
Kan_277	Negative
Kan_278	Negative
Kan_279	Positive
Kan_280	not-Kannada
Kan_281	Positive
Kan_282	Positive
Kan_283	Positive
Kan_284	not-Kannada
Kan_285	Positive
Kan_286	Negative
Kan_287	Negative
Kan_288	Positive
Kan_289	Positive
Kan_290	Positive
Kan_291	Positive
Kan_292	not-Kannada
Kan_293	Negative
Kan_294	Positive
Kan_295	Negative
Kan_296	Positive
Kan_297	Positive
Kan_298	Positive
Kan_299	Mixed feelings
Kan_300	Negative
Kan_301	Positive
Kan_302	Negative
Kan_303	not-Kannada
Kan_304	Negative
Kan_305	Positive
Kan_306	unknown state
Kan_307	Positive
Kan_308	Negative
Kan_309	Negative
Kan_310	Negative
Kan_311	not-Kannada
Kan_312	Positive
Kan_313	Positive
Kan_314	Positive
Kan_315	Positive
Kan_316	Positive
Kan_317	Positive
Kan_318	Positive
Kan_319	Positive
Kan_320	Negative
Kan_321	Positive
Kan_322	not-Kannada
Kan_323	not-Kannada
Kan_324	Positive
Kan_325	Positive
Kan_326	Negative
Kan_327	Positive
Kan_328	Positive
Kan_329	unknown state
Kan_330	Positive
Kan_331	Positive
Kan_332	Positive
Kan_333	Positive
Kan_334	Positive
Kan_335	Negative
Kan_336	not-Kannada
Kan_337	Positive
Kan_338	Positive
Kan_339	Positive
Kan_340	Positive
Kan_341	Negative
Kan_342	not-Kannada
Kan_343	Positive
Kan_344	Positive
Kan_345	Negative
Kan_346	not-Kannada
Kan_347	Positive
Kan_348	Positive
Kan_349	Negative
Kan_350	Positive
Kan_351	Positive
Kan_352	Negative
Kan_353	Positive
Kan_354	Positive
Kan_355	Positive
Kan_356	Positive
Kan_357	Negative
Kan_358	Positive
Kan_359	Positive
Kan_360	not-Kannada
Kan_361	Positive
Kan_362	Positive
Kan_363	Positive
Kan_364	Negative
Kan_365	Positive
Kan_366	Positive
Kan_367	Positive
Kan_368	Positive
Kan_369	Positive
Kan_370	Negative
Kan_371	Positive
Kan_372	not-Kannada
Kan_373	Positive
Kan_374	Negative
Kan_375	Positive
Kan_376	Positive
Kan_377	Positive
Kan_378	Negative
Kan_379	unknown state
Kan_380	Positive
Kan_381	not-Kannada
Kan_382	Positive
Kan_383	Negative
Kan_384	Negative
Kan_385	Positive
Kan_386	Positive
Kan_387	Positive
Kan_388	Positive
Kan_389	Positive
Kan_390	Positive
Kan_391	Positive
Kan_392	Positive
Kan_393	Positive
Kan_394	Positive
Kan_395	Negative
Kan_396	Positive
Kan_397	Positive
Kan_398	Positive
Kan_399	Negative
Kan_400	Positive
Kan_401	Positive
Kan_402	Positive
Kan_403	Positive
Kan_404	Positive
Kan_405	Positive
Kan_406	Positive
Kan_407	Positive
Kan_408	Positive
Kan_409	not-Kannada
Kan_410	Positive
Kan_411	Positive
Kan_412	Positive
Kan_413	unknown state
