id	cat_boost_original_bert	forest_original_bert	log_original_bert	neigh_original_bert	original_majority_label_bert
Mal_1	Positive	Positive	Positive	Positive	Positive
Mal_2	Positive	Positive	Positive	Positive	Positive
Mal_3	unknown state	Mixed feelings	Positive	Positive	Positive
Mal_4	Positive	Mixed feelings	Positive	Positive	Positive
Mal_5	Negative	Negative	Negative	Negative	Negative
Mal_6	Negative	Positive	Negative	Negative	Negative
Mal_7	Positive	Positive	Positive	Positive	Positive
Mal_8	Positive	Positive	Positive	Positive	Positive
Mal_9	Positive	Positive	Positive	Positive	Positive
Mal_10	Positive	Positive	Positive	Positive	Positive
Mal_11	Negative	Positive	Positive	Positive	Positive
Mal_12	Positive	Positive	Positive	Positive	Positive
Mal_13	Positive	Positive	Positive	Positive	Positive
Mal_14	Positive	Positive	Positive	Positive	Positive
Mal_15	Positive	Positive	Positive	Positive	Positive
Mal_16	Positive	Positive	Positive	Positive	Positive
Mal_17	Positive	Positive	Positive	Positive	Positive
Mal_18	Positive	Positive	Positive	Positive	Positive
Mal_19	unknown state	Positive	Positive	not-Kannada	Positive
Mal_20	Positive	Positive	Positive	Positive	Positive
Mal_21	Positive	Positive	Negative	Positive	Positive
Mal_22	Positive	Mixed feelings	Positive	Positive	Positive
Mal_23	Negative	Positive	Negative	Positive	Negative
Mal_24	Positive	Positive	Positive	Positive	Positive
Mal_25	Negative	Negative	Positive	Positive	Negative
Mal_26	Positive	Positive	Positive	Positive	Positive
Mal_27	Negative	Negative	Positive	Positive	Negative
Mal_28	Positive	Negative	unknown state	Positive	Positive
Mal_29	Positive	Positive	Positive	Positive	Positive
Mal_30	Positive	Positive	Positive	Positive	Positive
Mal_31	Positive	Positive	Positive	Positive	Positive
Mal_32	Positive	Positive	Positive	Positive	Positive
Mal_33	Positive	Mixed feelings	Positive	Positive	Positive
Mal_34	Positive	Positive	Positive	Positive	Positive
Mal_35	Positive	Negative	Positive	Negative	Negative
Mal_36	Negative	Positive	Positive	Positive	Positive
Mal_37	Positive	Positive	unknown state	Positive	Positive
Mal_38	Positive	Positive	Positive	Positive	Positive
Mal_39	Negative	Negative	Negative	Positive	Negative
Mal_40	Positive	Positive	Positive	Positive	Positive
Mal_41	Positive	Positive	Positive	Positive	Positive
Mal_42	Positive	Positive	Positive	Positive	Positive
Mal_43	Positive	Mixed feelings	Positive	Positive	Positive
Mal_44	Positive	Positive	Positive	Positive	Positive
Mal_45	Positive	Positive	Negative	Positive	Positive
Mal_46	Positive	Positive	Positive	Positive	Positive
Mal_47	Negative	Negative	Negative	Positive	Negative
Mal_48	Positive	Positive	Positive	Positive	Positive
Mal_49	Positive	Positive	Positive	Positive	Positive
Mal_50	Negative	Positive	Positive	Positive	Positive
Mal_51	Positive	Positive	Positive	Positive	Positive
Mal_52	Positive	Positive	Positive	Positive	Positive
Mal_53	Positive	Positive	Positive	Positive	Positive
Mal_54	Negative	Positive	Positive	Negative	Negative
Mal_55	Positive	Positive	Positive	Positive	Positive
Mal_56	Positive	Positive	Positive	Positive	Positive
