id	cat_boost_original_bert	forest_original_bert	log_original_bert	neigh_original_bert	original_majority_label_bert
TAM_01	Positive	Positive	Positive	Positive	Positive
TAM_02	Positive	unknown state	Positive	Positive	Positive
TAM_03	Positive	Positive	Positive	Positive	Positive
TAM_04	Positive	Positive	Positive	Positive	Positive
TAM_05	Negative	Negative	Positive	Positive	Negative
TAM_06	Positive	Positive	Positive	Positive	Positive
TAM_07	Positive	Positive	Positive	Positive	Positive
TAM_08	Positive	Positive	Positive	Positive	Positive
TAM_09	Positive	Positive	Mixed feelings	Positive	Positive
TAM_10	Positive	Positive	Positive	Positive	Positive
TAM_11	Positive	Mixed feelings	Positive	Positive	Positive
TAM_12	Positive	Positive	Positive	Positive	Positive
TAM_13	Positive	Positive	Positive	Negative	Positive
TAM_14	Positive	Mixed feelings	Positive	Positive	Positive
TAM_15	Positive	Positive	Positive	Positive	Positive
TAM_16	Positive	Positive	Positive	Positive	Positive
TAM_17	Positive	Positive	Positive	Positive	Positive
TAM_18	Mixed feelings	Positive	Positive	Positive	Positive
TAM_19	Positive	Positive	Positive	Positive	Positive
TAM_20	Positive	Positive	Positive	Positive	Positive
TAM_21	Positive	Positive	Positive	Positive	Positive
TAM_22	Positive	Positive	Positive	Positive	Positive
TAM_23	Positive	Positive	Positive	Positive	Positive
TAM_24	Positive	Positive	Positive	Positive	Positive
TAM_25	Positive	Positive	Positive	Positive	Positive
TAM_26	Mixed feelings	Positive	Positive	Negative	Positive
TAM_27	Negative	Negative	Positive	Positive	Negative
TAM_28	Positive	Positive	Positive	Positive	Positive
TAM_29	Positive	Positive	Positive	Positive	Positive
TAM_30	Negative	Positive	Positive	Positive	Positive
TAM_31	Positive	Positive	Positive	Positive	Positive
TAM_32	Negative	Positive	Positive	Positive	Positive
TAM_33	Positive	Positive	Positive	Positive	Positive
TAM_34	Positive	Positive	Positive	Positive	Positive
TAM_35	Negative	Positive	Positive	Positive	Positive
TAM_36	Positive	Positive	Negative	Negative	Negative
TAM_37	Negative	Positive	Positive	Positive	Positive
TAM_38	Negative	Negative	Negative	Negative	Negative
TAM_39	Negative	Negative	Positive	Positive	Negative
TAM_40	Positive	Positive	Positive	Positive	Positive
TAM_41	Positive	Positive	Positive	Positive	Positive
TAM_42	Positive	Negative	Positive	Positive	Positive
TAM_43	Negative	Negative	Positive	Positive	Negative
TAM_44	Positive	Positive	Positive	Positive	Positive
TAM_45	Positive	Positive	Positive	Positive	Positive
TAM_46	Positive	Positive	Positive	Positive	Positive
TAM_47	Positive	Mixed feelings	Positive	Positive	Positive
TAM_48	Positive	Positive	Positive	Positive	Positive
TAM_49	Positive	Positive	Positive	Positive	Positive
TAM_50	Positive	unknown state	Positive	Positive	Positive
TAM_51	Positive	Positive	Positive	Positive	Positive
TAM_52	Positive	Negative	Positive	Positive	Positive
TAM_53	Positive	Positive	Positive	Positive	Positive
TAM_54	Positive	Positive	Positive	Positive	Positive
TAM_55	Positive	Positive	Positive	Positive	Positive
TAM_56	unknown state	Negative	Positive	Positive	Positive
TAM_57	Negative	Positive	Positive	Positive	Positive
TAM_58	Negative	Positive	Positive	Positive	Positive
TAM_59	Positive	Positive	Positive	Positive	Positive
TAM_60	Positive	Negative	Positive	Positive	Positive
TAM_61	Positive	Positive	Positive	Positive	Positive
TAM_62	Positive	Positive	Positive	Positive	Positive
TAM_63	Positive	Positive	Positive	Positive	Positive
TAM_64	Positive	Positive	Positive	Positive	Positive
TAM_65	Positive	Positive	Positive	Positive	Positive
TAM_66	Positive	Positive	Positive	Positive	Positive
TAM_67	Positive	Positive	Positive	Positive	Positive
TAM_68	Negative	Negative	Positive	Positive	Negative
TAM_69	Negative	Negative	Negative	Positive	Negative
TAM_70	Positive	Positive	Positive	Positive	Positive
TAM_71	Negative	Positive	Positive	Positive	Positive
TAM_72	Positive	Positive	Negative	Positive	Positive
TAM_73	Positive	Positive	Positive	Positive	Positive
TAM_74	Positive	Mixed feelings	Positive	Positive	Positive
TAM_75	Negative	Positive	Negative	Positive	Negative
TAM_76	Positive	Negative	Positive	Negative	Negative
TAM_77	Negative	Positive	Positive	Positive	Positive
TAM_78	Positive	Positive	Positive	Positive	Positive
TAM_79	Positive	Positive	Positive	Positive	Positive
TAM_80	Negative	Negative	Positive	Negative	Negative
TAM_81	Positive	Positive	Positive	Negative	Positive
TAM_82	Positive	Positive	Positive	Positive	Positive
TAM_83	Negative	Positive	Positive	Positive	Positive
TAM_84	Positive	Positive	Positive	Positive	Positive
TAM_85	Negative	Positive	Negative	Positive	Negative
TAM_86	Negative	Positive	Positive	Negative	Negative
TAM_87	Positive	Negative	Positive	Positive	Positive
TAM_88	Positive	Positive	Positive	Negative	Positive
TAM_89	Negative	Positive	Positive	Positive	Positive
TAM_90	Positive	Negative	Positive	Positive	Positive
TAM_91	Positive	Positive	Positive	Positive	Positive
TAM_92	Negative	Negative	Negative	Negative	Negative
TAM_93	Negative	Negative	Negative	Negative	Negative
TAM_94	Negative	Positive	Negative	Positive	Negative
TAM_95	Positive	Positive	Positive	Positive	Positive
TAM_96	Negative	unknown state	Positive	Negative	Negative
TAM_97	Positive	Positive	Positive	Positive	Positive
TAM_98	Positive	Positive	Positive	Positive	Positive
TAM_99	Negative	unknown state	Negative	Positive	Negative
TAM_100	Positive	Positive	Positive	Positive	Positive
TAM_101	Positive	Positive	Positive	Positive	Positive
TAM_102	Positive	Positive	Positive	Positive	Positive
TAM_103	Positive	Positive	Positive	Positive	Positive
TAM_104	Positive	Negative	Positive	Negative	Negative
TAM_105	Positive	Mixed feelings	unknown state	Positive	Positive
TAM_106	Negative	Positive	Negative	Positive	Negative
TAM_107	Positive	Positive	Negative	Negative	Negative
TAM_108	Positive	Positive	Positive	Positive	Positive
TAM_109	Negative	Negative	Positive	Positive	Negative
TAM_110	Negative	Negative	Negative	Negative	Negative
TAM_111	Positive	Positive	Positive	Positive	Positive
TAM_112	Positive	Positive	Positive	Negative	Positive
TAM_113	Positive	Positive	Positive	Positive	Positive
TAM_114	Positive	Positive	Positive	Positive	Positive
TAM_115	Positive	Positive	Positive	Positive	Positive
