y	cat_boost_neg_bert	forest_neg_bert	log_neg_bert	neigh_neg_bert	neg_majority_label_bert
Mixed feelings	Mixed feelings	Mixed feelings	Positive	Mixed feelings	Mixed feelings
Positive	Positive	Positive	Positive	Positive	Positive
not-Kannada	Positive	not-Kannada	not-Kannada	Positive	Positive
Positive	Positive	Negative	Positive	Positive	Positive
Positive	Positive	Positive	Negative	Negative	Negative
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Negative	Positive	Negative	Negative	Negative
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Negative	Negative	Negative	Negative	Negative
not-Kannada	Positive	Positive	Positive	Negative	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	not-Kannada	Positive	not-Kannada	Positive
Positive	Positive	Negative	Positive	Positive	Positive
Negative	Negative	Negative	Negative	Negative	Negative
not-Kannada	not-Kannada	Positive	not-Kannada	not-Kannada	not-Kannada
Negative	Positive	Positive	Positive	Negative	Positive
Positive	unknown state	Negative	unknown state	unknown state	unknown state
Positive	Positive	Negative	Positive	Negative	Negative
Positive	Negative	Negative	Negative	Negative	Negative
Mixed feelings	Negative	Negative	Negative	Mixed feelings	Negative
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Positive	Positive	Positive	Negative	Positive
Negative	Positive	Positive	Positive	Positive	Positive
not-Kannada	Mixed feelings	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Mixed feelings	Mixed feelings	Positive	Positive	Positive	Positive
Negative	Positive	Negative	Negative	Negative	Negative
Positive	Positive	Positive	Positive	Negative	Positive
Mixed feelings	Negative	Negative	Negative	Negative	Negative
unknown state	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Positive	Positive	Positive	Negative	Positive
not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Negative	Positive	Negative	Positive	Negative	Negative
Positive	Positive	Positive	Positive	Negative	Positive
Positive	Positive	Positive	not-Kannada	not-Kannada	Positive
Negative	Negative	Negative	Negative	Negative	Negative
unknown state	unknown state	unknown state	not-Kannada	unknown state	unknown state
Negative	Positive	Negative	Negative	Negative	Negative
Negative	unknown state	not-Kannada	not-Kannada	Negative	not-Kannada
Positive	Positive	Positive	Negative	Positive	Positive
unknown state	Positive	Positive	Positive	Negative	Positive
Positive	Positive	Negative	Negative	Positive	Negative
Negative	Positive	Positive	Positive	Positive	Positive
Negative	Negative	Negative	Positive	Positive	Negative
Positive	Positive	Negative	Positive	Negative	Negative
Positive	not-Kannada	Positive	Positive	not-Kannada	Positive
unknown state	not-Kannada	Negative	unknown state	not-Kannada	not-Kannada
Negative	Positive	Positive	Positive	Negative	Positive
Positive	Positive	Positive	Positive	Positive	Positive
unknown state	unknown state	unknown state	unknown state	unknown state	unknown state
Positive	Positive	Positive	Positive	Mixed feelings	Positive
