y	cat_boost_original_bert	forest_original_bert	log_original_bert	neigh_original_bert	original_majority_label_bert
Mixed feelings	Mixed feelings	Mixed feelings	Positive	Mixed feelings	Mixed feelings
Positive	Positive	Positive	Positive	Positive	Positive
not-Kannada	Positive	not-Kannada	not-Kannada	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Negative	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Positive	Positive	Positive	Negative	Positive
not-Kannada	Positive	not-Kannada	Positive	Negative	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	not-Kannada	Positive	not-Kannada	Positive
Positive	Mixed feelings	Positive	Positive	Positive	Positive
Negative	Negative	Negative	Negative	Negative	Negative
not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Negative	Positive	Negative	Positive	Negative	Negative
Positive	Positive	Negative	unknown state	unknown state	unknown state
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Mixed feelings	Negative	Negative	Negative	Mixed feelings	Negative
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Negative	Negative	Negative	Negative	Negative
Negative	Negative	Negative	Positive	Positive	Negative
not-Kannada	unknown state	unknown state	not-Kannada	not-Kannada	not-Kannada
Mixed feelings	Positive	Negative	Positive	Positive	Positive
Negative	Mixed feelings	Negative	Negative	Negative	Negative
Positive	Positive	Positive	Positive	Negative	Positive
Mixed feelings	Negative	Negative	Negative	Negative	Negative
unknown state	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Negative	unknown state	Positive	Positive	Negative	Positive
not-Kannada	not-Kannada	Positive	not-Kannada	not-Kannada	not-Kannada
Negative	Positive	Negative	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Negative	Positive
Positive	Positive	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Negative	Negative	Negative	Negative	Negative	Negative
unknown state	unknown state	unknown state	not-Kannada	unknown state	unknown state
Negative	Negative	Negative	Negative	Negative	Negative
Negative	unknown state	not-Kannada	not-Kannada	Negative	not-Kannada
Positive	Positive	Positive	Positive	Positive	Positive
unknown state	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Negative	Positive	Positive	Positive
Negative	Positive	unknown state	Positive	Positive	Positive
Negative	Positive	Positive	Negative	Positive	Positive
Positive	Negative	Negative	Positive	Negative	Negative
Positive	Positive	not-Kannada	Positive	Positive	Positive
unknown state	Mixed feelings	not-Kannada	not-Kannada	unknown state	not-Kannada
Negative	Positive	Negative	Positive	Negative	Negative
Positive	Positive	Positive	Positive	Positive	Positive
unknown state	unknown state	unknown state	unknown state	unknown state	unknown state
