y	cat_boost_original_tfidf	forest_original_tfidf	log_original_tfidf	neigh_original_tfidf	original_majority_label_tfidf
Mixed feelings	Mixed feelings	Mixed feelings	not-Kannada	Mixed feelings	Mixed feelings
Positive	Positive	Positive	Positive	Positive	Positive
not-Kannada	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Negative	Negative	Negative
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Positive	Negative	Positive	Positive	Positive
not-Kannada	Positive	Negative	Negative	Negative	Negative
Positive	Negative	Positive	Positive	Positive	Positive
Positive	unknown state	Positive	Positive	unknown state	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Negative	Negative	Negative	Negative	Negative
not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Negative	Positive	Positive	Negative	Negative	Negative
Positive	Positive	Positive	not-Kannada	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Mixed feelings	unknown state	Positive	Positive	unknown state	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Positive	Positive	Negative	Negative	Negative
Negative	Positive	Positive	Positive	Positive	Positive
not-Kannada	Positive	Positive	Positive	Positive	Positive
Mixed feelings	Positive	Positive	Positive	Positive	Positive
Negative	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Mixed feelings	Mixed feelings	Mixed feelings	Positive	Positive	Positive
unknown state	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Mixed feelings	Positive	Negative	Mixed feelings	Mixed feelings
not-Kannada	Positive	Positive	Positive	Positive	Positive
Negative	Positive	Positive	Positive	Positive	Positive
Positive	Negative	Negative	Negative	Negative	Negative
Positive	not-Kannada	not-Kannada	Positive	Positive	Positive
Negative	Negative	Negative	Negative	Mixed feelings	Negative
unknown state	unknown state	unknown state	unknown state	unknown state	unknown state
Negative	Negative	Negative	Negative	Negative	Negative
Negative	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Negative	Positive	Positive
unknown state	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Negative	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Negative	Positive	Negative	Negative	Positive	Negative
Positive	not-Kannada	Positive	not-Kannada	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
unknown state	Mixed feelings	Positive	Mixed feelings	Mixed feelings	Mixed feelings
Negative	Positive	Negative	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
unknown state	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Negative	Negative	Negative
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
