y	cat_boost_trans_tfidf	forest_trans_tfidf	logistic_reg_trans_tfidf	k-nearest_trans_tfidf	trabs_majority_label_tfidf
Mixed feelings	Mixed feelings	Mixed feelings	Negative	Mixed feelings	Mixed feelings
Positive	Positive	Positive	Positive	not-Kannada	Positive
not-Kannada	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	not-Kannada	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Negative	Negative	Negative	Negative	Negative
not-Kannada	Positive	Positive	Positive	Positive	Positive
Positive	not-Kannada	Positive	not-Kannada	not-Kannada	not-Kannada
Positive	Positive	Positive	Positive	not-Kannada	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Mixed feelings	Mixed feelings	Negative	Mixed feelings	Mixed feelings
not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Negative	Negative	Negative	Negative	Negative	Negative
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Mixed feelings	Negative	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Negative	Negative	Negative	Negative	Negative
Negative	Positive	Positive	Positive	Positive	Positive
not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Mixed feelings	Positive	Positive	Positive	Positive	Positive
Negative	Negative	Negative	Positive	Negative	Negative
Positive	Positive	Negative	Positive	Mixed feelings	Positive
Mixed feelings	not-Kannada	not-Kannada	Negative	Negative	Negative
unknown state	Positive	Positive	Positive	Positive	Positive
Positive	Negative	Negative	Negative	Negative	Negative
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Positive	not-Kannada	Negative	not-Kannada	not-Kannada
not-Kannada	Positive	Positive	Positive	Positive	Positive
Negative	Negative	Negative	Positive	Negative	Negative
Positive	Negative	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	not-Kannada	Positive
Negative	Negative	Negative	Negative	Mixed feelings	Negative
unknown state	Positive	Positive	Positive	Positive	Positive
Negative	Negative	Negative	Negative	Negative	Negative
Negative	Positive	Positive	Positive	Positive	Positive
Positive	Negative	Negative	Positive	Negative	Negative
unknown state	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	not-Kannada	Positive
Negative	Positive	Positive	Positive	not-Kannada	Positive
Negative	Positive	Positive	Positive	Mixed feelings	Positive
Positive	Positive	Positive	Negative	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
unknown state	Negative	Negative	Negative	Negative	Negative
Negative	Negative	Positive	Negative	Negative	Negative
Positive	Positive	Positive	Positive	not-Kannada	Positive
unknown state	Positive	Positive	Positive	Positive	Positive
Positive	Negative	Negative	Negative	not-Kannada	Negative
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Mixed feelings	Positive	Mixed feelings	Mixed feelings	Mixed feelings
not-Kannada	Positive	not-Kannada	Negative	not-Kannada	not-Kannada
not-Kannada	Positive	Positive	Positive	Positive	Positive
Negative	Negative	Negative	Negative	Negative	Negative
not-Kannada	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Negative	Positive	Negative	Negative	Negative
Positive	Positive	Positive	Positive	not-Kannada	Positive
Positive	Positive	Positive	Positive	Mixed feelings	Positive
Negative	Positive	Positive	Positive	Negative	Positive
Mixed feelings	Positive	not-Kannada	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
not-Kannada	Positive	Positive	Positive	Positive	Positive
unknown state	Negative	Negative	Negative	Negative	Negative
Positive	Positive	Positive	Positive	Positive	Positive
unknown state	Positive	Positive	Positive	Positive	Positive
not-Kannada	Positive	Positive	Positive	Positive	Positive
Negative	Mixed feelings	Positive	Negative	Mixed feelings	Mixed feelings
Positive	Positive	Positive	Positive	Positive	Positive
Positive	unknown state	Negative	Negative	Negative	Negative
not-Kannada	Negative	Positive	not-Kannada	not-Kannada	not-Kannada
Positive	Positive	Positive	Positive	Positive	Positive
not-Kannada	Positive	Positive	Positive	not-Kannada	Positive
not-Kannada	Positive	Positive	Positive	Positive	Positive
not-Kannada	Positive	Positive	Positive	not-Kannada	Positive
Mixed feelings	Negative	Negative	Positive	Negative	Negative
Positive	Positive	Positive	Positive	Positive	Positive
unknown state	Positive	Positive	Positive	Positive	Positive
Positive	Mixed feelings	Positive	Positive	Positive	Positive
Mixed feelings	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
not-Kannada	not-Kannada	not-Kannada	Positive	not-Kannada	not-Kannada
Positive	Positive	Positive	Positive	not-Kannada	Positive
Positive	Positive	Positive	Positive	Positive	Positive
not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Mixed feelings	unknown state	Positive	not-Kannada	Positive
Mixed feelings	Positive	Positive	Positive	Positive	Positive
Positive	Negative	Negative	Negative	Negative	Negative
unknown state	not-Kannada	not-Kannada	Positive	not-Kannada	not-Kannada
Positive	Positive	Positive	Positive	Positive	Positive
not-Kannada	Positive	Positive	Positive	not-Kannada	Positive
unknown state	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Mixed feelings	Positive
not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Negative	Negative	Negative	Negative	Negative	Negative
Positive	Positive	Positive	Positive	Positive	Positive
not-Kannada	Positive	Positive	Positive	Positive	Positive
unknown state	unknown state	unknown state	Positive	unknown state	unknown state
Negative	Positive	Positive	Positive	Positive	Positive
Positive	Negative	Negative	Negative	Negative	Negative
Negative	Positive	Positive	Positive	Positive	Positive
not-Kannada	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Negative	Positive
Negative	Negative	Negative	Negative	Negative	Negative
Positive	Positive	Positive	Positive	not-Kannada	Positive
Mixed feelings	Negative	Negative	Negative	Negative	Negative
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	not-Kannada	Positive
not-Kannada	Positive	not-Kannada	Positive	not-Kannada	Positive
Mixed feelings	Positive	Positive	Negative	Negative	Negative
Negative	Mixed feelings	Negative	Positive	Negative	Negative
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	not-Kannada	Positive
unknown state	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	not-Kannada	Positive
Positive	not-Kannada	not-Kannada	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
not-Kannada	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Negative	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Mixed feelings	Negative	Positive	Mixed feelings	Mixed feelings
Positive	Positive	Positive	Positive	Positive	Positive
unknown state	Positive	Positive	Positive	Positive	Positive
Mixed feelings	Negative	Negative	Negative	Negative	Negative
Positive	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
unknown state	Positive	Positive	Positive	Positive	Positive
unknown state	Positive	Positive	Positive	Positive	Positive
unknown state	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Positive	Negative	Negative	Positive	Negative
Positive	Positive	Positive	Positive	Negative	Positive
Positive	Positive	Positive	Positive	Positive	Positive
not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
unknown state	not-Kannada	not-Kannada	not-Kannada	Positive	not-Kannada
Negative	Positive	Positive	Positive	Positive	Positive
not-Kannada	not-Kannada	not-Kannada	Positive	not-Kannada	not-Kannada
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Positive	Positive	Positive	Positive	Positive
Positive	Negative	Positive	Positive	Positive	Positive
Mixed feelings	Mixed feelings	Mixed feelings	Mixed feelings	Mixed feelings	Mixed feelings
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Negative	Negative	Negative	unknown state	Negative
Positive	Positive	Positive	Negative	Negative	Negative
Negative	Positive	Positive	Positive	Mixed feelings	Positive
Positive	Negative	Negative	Negative	Positive	Negative
Positive	not-Kannada	not-Kannada	Positive	not-Kannada	not-Kannada
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Positive	Positive	Positive	Positive	not-Kannada	Positive
unknown state	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Negative	Negative	Negative	Negative	Negative
Positive	Positive	Positive	Positive	Positive	Positive
not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Negative	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	not-Kannada	not-Kannada	Positive	not-Kannada	not-Kannada
Negative	Negative	Negative	Positive	Negative	Negative
Positive	Mixed feelings	Positive	Negative	Negative	Negative
unknown state	Negative	Negative	Negative	Negative	Negative
Negative	Negative	Negative	Positive	Negative	Negative
Mixed feelings	Positive	Positive	Positive	Positive	Positive
not-Kannada	Negative	Positive	Mixed feelings	Mixed feelings	Mixed feelings
unknown state	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	not-Kannada	Positive
Negative	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Mixed feelings	Positive	Positive	Positive	Positive	Positive
not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Negative	Negative	Negative	Positive	Negative
Negative	Negative	Negative	Positive	Negative	Negative
Positive	Positive	Positive	Positive	not-Kannada	Positive
Positive	Negative	Positive	Negative	Negative	Negative
Negative	Positive	Negative	Mixed feelings	Mixed feelings	Mixed feelings
unknown state	not-Kannada	not-Kannada	not-Kannada	Positive	not-Kannada
unknown state	Positive	Positive	Positive	Positive	Positive
unknown state	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Positive	Positive	Positive	Positive	Positive
not-Kannada	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	unknown state	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Mixed feelings	Positive	Positive	Positive	Positive	Positive
Negative	Mixed feelings	Mixed feelings	Positive	Mixed feelings	Mixed feelings
Positive	Positive	Positive	Positive	not-Kannada	Positive
Positive	Positive	Negative	Negative	unknown state	Negative
Positive	Mixed feelings	Mixed feelings	unknown state	Mixed feelings	Mixed feelings
Positive	Positive	Positive	Positive	not-Kannada	Positive
Positive	Positive	Positive	Positive	not-Kannada	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Negative	not-Kannada	not-Kannada	Negative	Negative	Negative
Negative	Negative	Negative	Positive	Negative	Negative
not-Kannada	Positive	Positive	Positive	not-Kannada	Positive
not-Kannada	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Negative	Negative	Negative	Negative	Negative
unknown state	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Mixed feelings	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	not-Kannada	Positive
not-Kannada	Positive	Positive	Positive	Positive	Positive
Negative	Mixed feelings	Positive	Negative	Positive	Positive
Positive	Negative	Negative	Negative	Negative	Negative
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Mixed feelings	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Mixed feelings	Positive	Positive	Positive	Positive	Positive
Positive	not-Kannada	not-Kannada	Positive	not-Kannada	not-Kannada
Positive	Negative	Negative	Positive	Negative	Negative
Negative	Negative	Negative	Negative	Positive	Negative
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Negative	Negative	Negative	Negative	Negative
unknown state	unknown state	Positive	Positive	Positive	Positive
Negative	Negative	Positive	Positive	not-Kannada	Positive
Positive	Negative	Negative	Positive	Negative	Negative
Negative	not-Kannada	not-Kannada	not-Kannada	Positive	not-Kannada
Negative	Positive	Positive	Positive	Positive	Positive
not-Kannada	Positive	Positive	Positive	not-Kannada	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Negative	Negative	Negative	Negative	Negative
Positive	Negative	Positive	Positive	Positive	Positive
Negative	Negative	Positive	Negative	Negative	Negative
Positive	Positive	Positive	Positive	Mixed feelings	Positive
Positive	Positive	Negative	Positive	unknown state	Positive
Positive	Positive	Positive	Positive	Positive	Positive
not-Kannada	Positive	Positive	Positive	not-Kannada	Positive
Negative	Positive	Positive	Positive	Positive	Positive
Positive	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
not-Kannada	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	unknown state	Positive
Positive	Negative	Positive	Negative	Positive	Negative
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Negative	Negative	Negative	Negative	Negative
not-Kannada	Positive	Positive	Positive	not-Kannada	Positive
not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Negative	Negative	Negative	unknown state	Negative
not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Positive	Positive	Positive	Positive	not-Kannada	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
unknown state	Negative	Negative	Positive	Negative	Negative
Mixed feelings	Positive	Positive	Positive	Positive	Positive
not-Kannada	Positive	Negative	Positive	not-Kannada	Positive
unknown state	Positive	Positive	Positive	Positive	Positive
Negative	Positive	Positive	Positive	Positive	Positive
Positive	unknown state	Negative	Negative	unknown state	Negative
Positive	Negative	Negative	Negative	Mixed feelings	Negative
Negative	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	not-Kannada	Positive
Negative	Positive	Positive	Positive	Mixed feelings	Positive
not-Kannada	Positive	Positive	Positive	Positive	Positive
Positive	Negative	Negative	Positive	Negative	Negative
Negative	Negative	Positive	Positive	Mixed feelings	Positive
Positive	Negative	Positive	Negative	Negative	Negative
unknown state	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Negative	Positive	Negative	Negative
Negative	Negative	Mixed feelings	Negative	Mixed feelings	Negative
Positive	Positive	Positive	Positive	Mixed feelings	Positive
Positive	Positive	Positive	Positive	Positive	Positive
not-Kannada	Positive	Positive	Positive	not-Kannada	Positive
not-Kannada	Positive	Positive	Positive	Positive	Positive
Positive	Mixed feelings	Positive	Positive	Positive	Positive
not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
not-Kannada	Positive	Positive	Positive	Positive	Positive
unknown state	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
unknown state	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Negative	not-Kannada	not-Kannada	Negative	Negative	Negative
Positive	Positive	Positive	Positive	not-Kannada	Positive
unknown state	unknown state	unknown state	unknown state	unknown state	unknown state
Positive	Positive	Positive	Positive	Positive	Positive
