y	cat_boost_cleaned_bert	forest_cleaned_bert	log_cleaned_bert	neigh_cleaned_bert	cleaned_majority_label_bert
Positive	Positive	Positive	Positive	Positive	Positive
not-malayalam	Positive	Positive	Positive	not-malayalam	Positive
Positive	unknown_state	Positive	Positive	Positive	Positive
Positive	Positive	unknown_state	unknown_state	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
unknown_state	Positive	unknown_state	unknown_state	Positive	Positive
Negative	unknown_state	unknown_state	unknown_state	unknown_state	unknown_state
Mixed_feelings	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
not-malayalam	Positive	Positive	Positive	not-malayalam	Positive
unknown_state	unknown_state	unknown_state	Positive	unknown_state	unknown_state
Positive	unknown_state	Positive	unknown_state	Positive	Positive
unknown_state	Positive	Positive	Positive	Positive	Positive
unknown_state	unknown_state	Positive	unknown_state	Negative	unknown_state
unknown_state	unknown_state	unknown_state	unknown_state	unknown_state	unknown_state
Negative	Negative	Negative	Positive	Negative	Negative
Positive	unknown_state	Negative	Positive	Positive	Positive
unknown_state	Mixed_feelings	Mixed_feelings	Positive	Mixed_feelings	Mixed_feelings
unknown_state	unknown_state	Positive	Positive	unknown_state	Positive
Positive	unknown_state	Positive	Positive	unknown_state	Positive
unknown_state	unknown_state	unknown_state	unknown_state	unknown_state	unknown_state
unknown_state	Positive	Positive	Positive	not-malayalam	Positive
Negative	unknown_state	Positive	unknown_state	Positive	Positive
Positive	Positive	Positive	Positive	unknown_state	Positive
Negative	unknown_state	Positive	Positive	Positive	Positive
not-malayalam	not-malayalam	Positive	not-malayalam	Positive	Positive
unknown_state	Positive	Positive	Positive	Positive	Positive
unknown_state	Positive	unknown_state	unknown_state	unknown_state	unknown_state
unknown_state	unknown_state	unknown_state	unknown_state	unknown_state	unknown_state
Negative	Positive	Positive	Positive	Positive	Positive
Negative	unknown_state	unknown_state	Positive	unknown_state	unknown_state
Negative	unknown_state	Positive	Positive	unknown_state	Positive
unknown_state	unknown_state	unknown_state	Positive	unknown_state	unknown_state
Negative	Positive	Positive	unknown_state	unknown_state	Positive
Positive	Positive	Positive	Positive	Mixed_feelings	Positive
Positive	Positive	Positive	Positive	Positive	Positive
unknown_state	Positive	unknown_state	Positive	unknown_state	Positive
Negative	Positive	unknown_state	Positive	Negative	Positive
unknown_state	unknown_state	unknown_state	unknown_state	Positive	unknown_state
Negative	Negative	Positive	Negative	Negative	Negative
unknown_state	unknown_state	unknown_state	unknown_state	unknown_state	unknown_state
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	unknown_state	Positive	unknown_state	Positive
not-malayalam	Positive	not-malayalam	Positive	Positive	Positive
unknown_state	unknown_state	unknown_state	unknown_state	unknown_state	unknown_state
unknown_state	unknown_state	unknown_state	Positive	unknown_state	unknown_state
unknown_state	unknown_state	unknown_state	unknown_state	unknown_state	unknown_state
Positive	Positive	Positive	Positive	Mixed_feelings	Positive
unknown_state	Positive	unknown_state	Positive	unknown_state	Positive
Positive	unknown_state	Positive	Positive	unknown_state	Positive
Negative	Mixed_feelings	Positive	unknown_state	Negative	Negative
Negative	Negative	Negative	Negative	Positive	Negative
Positive	unknown_state	unknown_state	unknown_state	unknown_state	unknown_state
Positive	unknown_state	Positive	Positive	unknown_state	Positive
Mixed_feelings	Positive	Positive	unknown_state	Negative	Positive
Negative	unknown_state	unknown_state	unknown_state	Positive	unknown_state
Positive	Positive	Positive	Positive	unknown_state	Positive
Positive	Positive	Positive	Positive	Positive	Positive
unknown_state	unknown_state	Positive	Positive	not-malayalam	Positive
Positive	Positive	Positive	Positive	Mixed_feelings	Positive
Positive	Positive	unknown_state	Positive	Positive	Positive
not-malayalam	Positive	unknown_state	Positive	unknown_state	Positive
Positive	Positive	Positive	Positive	Positive	Positive
unknown_state	Positive	Positive	unknown_state	Positive	Positive
Positive	unknown_state	Mixed_feelings	Positive	Negative	Negative
Negative	Positive	Positive	Positive	Negative	Positive
Positive	Positive	Positive	Positive	Positive	Positive
unknown_state	Positive	Positive	Positive	Positive	Positive
Mixed_feelings	Positive	Positive	unknown_state	unknown_state	Positive
unknown_state	unknown_state	Positive	unknown_state	unknown_state	unknown_state
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Positive	Positive	Positive	Positive	Positive
unknown_state	Positive	not-malayalam	not-malayalam	not-malayalam	not-malayalam
Positive	unknown_state	unknown_state	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
unknown_state	Positive	unknown_state	Positive	unknown_state	Positive
unknown_state	Positive	unknown_state	unknown_state	unknown_state	unknown_state
